timestamp,frame_channels,band_no,total_channels,start_freq_MHz,end_freq_MHz,step_kHz,freq_0,freq_1,freq_2,freq_3,freq_4,freq_5,freq_6,freq_7,freq_8,freq_9,freq_10
2026-04-12 15:00:22.981,0,0,0,0.0,0.0,0.0,2,0,2,-260,-259,-771,-771,-4,-515
2026-04-12 15:00:22.981,0,0,0,0.0,0.0,0.0,1,0,4,-2,-260,-771,-3,-515,-514,-772
2026-04-12 15:00:22.981,0,0,0,0.0,0.0,0.0,2,0,0,-3,-516,-259,-771,-3
2026-04-12 15:00:22.981,0,0,0,0.0,0.0,0.0,2,0,2,-772,-514,-515,-258,-515,-260
2026-04-12 15:00:22.981,0,0,0,0.0,0.0,0.0,1,0,4,-259,-515,-259,-515,-259,-3,-516,-515
2026-04-12 15:00:22.981,0,0,0,0.0,0.0,0.0,2,0,0,-4,-772,-3,-259,-771,-3,-515,-259
2026-04-12 15:00:22.981,0,0,0,0.0,0.0,0.0,2,0,2,-4,-515,-515,-515,-771
2026-04-12 15:00:22.981,0,0,0,0.0,0.0,0.0,1,0,4,-259,-259,-259,-772,-259,-259,-259,-771
2026-04-12 15:00:22.981,0,0,0,0.0,0.0,0.0,2,0,0,-259,-259,-3,-3,-3,-259,-771,-3
2026-04-12 15:00:22.981,0,0,0,0.0,0.0,0.0,2,0,2,-515,-3
2026-04-12 15:00:22.981,0,0,0,0.0,0.0,0.0,1,0,4,-259,-515,-771,-259,-3,-3
2026-04-12 15:00:22.981,0,0,0,0.0,0.0,0.0,2,0,0,-514,-3,-515,-516,-3,-2,-515,-3
2026-04-12 15:00:22.981,0,0,0,0.0,0.0,0.0,2,0,2,-260,-259,-3,-772,-515
2026-04-12 15:00:22.981,0,0,0,0.0,0.0,0.0,1,0,4,-772,-3,-516,-515
2026-04-12 15:00:22.981,0,0,0,0.0,0.0,0.0,2,0,0,-771,-3,-3,-260,-3,-259,-771,-258
2026-04-12 15:00:22.981,0,0,0,0.0,0.0,0.0,2,0,2,-4,-514,-259
2026-04-12 15:00:22.981,0,0,0,0.0,0.0,0.0,1,0,4,-771,-259,-516,-258,-259
2026-04-12 15:00:22.981,0,0,0,0.0,0.0,0.0,2,0,0,-515,-517,-3,-771,-515,-259,-259,-515
